dv,term,estimate,std.error,statistic,p.value
log_vol_2per,Item_1.01,0.000117526,1.16E-05,10.14544601,5.29E-24
log_vol_2per,Item_1.02,2.96E-05,1.59E-05,1.856907421,0.063370586
log_vol_2per,Item_1.03,0.000801628,0.000313473,2.557248869,0.010573398
log_vol_2per,Item_1.04,-7.43E-05,8.58E-05,-0.866464608,0.386268154
log_vol_2per,Item_1.05,6.00E-05,9.65E-05,0.621893183,0.534034428
log_vol_2per,Item_2.01,-6.79E-06,1.45E-05,-0.468558576,0.639401271
log_vol_2per,Item_2.02,0.000197224,1.49E-05,13.22910352,1.97E-39
log_vol_2per,Item_2.03,-0.000179617,1.09E-05,-16.53868201,3.45E-60
log_vol_2per,Item_2.04,-5.99E-06,5.81E-05,-0.103023477,0.917947591
log_vol_2per,Item_2.05,0.000236114,3.61E-05,6.533859024,6.91E-11
log_vol_2per,Item_2.06,-5.34E-05,5.67E-05,-0.942314668,0.346067397
log_vol_2per,Item_3.01,8.04E-05,2.31E-05,3.472527347,0.000519018
log_vol_2per,Item_3.02,0.000139324,1.91E-05,7.284426422,3.62E-13
log_vol_2per,Item_3.03,-6.78E-05,2.00E-05,-3.392355414,0.000697177
log_vol_2per,Item_4.01,-9.51E-05,2.06E-05,-4.604133079,4.22E-06
log_vol_2per,Item_4.02,-5.68E-06,3.80E-05,-0.149542623,0.881130227
log_vol_2per,Item_5.01,0.000112503,5.23E-05,2.152987333,0.031357209
log_vol_2per,Item_5.02,-4.82E-05,6.55E-06,-7.362906071,2.03E-13
log_vol_2per,Item_5.03,-3.25E-05,1.19E-05,-2.720918599,0.006527812
log_vol_2per,Item_5.04,-5.74E-05,3.74E-05,-1.536711842,0.124413697
log_vol_2per,Item_5.05,-2.91E-05,3.76E-05,-0.772975753,0.439565493
log_vol_2per,Item_5.06,-2.84E-05,9.96E-05,-0.285363707,0.775374814
log_vol_2per,Item_5.07,-5.02E-05,4.86E-06,-10.32234473,8.76E-25
log_vol_2per,Item_5.08,-0.000144122,3.66E-05,-3.939644669,8.25E-05
log_vol_2per,Item_7.01,5.53E-05,1.08E-05,5.11841654,3.17E-07
log_vol_2per,Item_8.01,0.000122496,1.00E-05,12.24711338,4.21E-34
log_vol_2per,Item_9.01,5.69E-05,1.41E-05,4.029716796,5.65E-05
log_vol_4per,Item_1.01,0.000271346,2.21E-05,12.26673394,3.32E-34
log_vol_4per,Item_1.02,9.88E-05,3.13E-05,3.156180719,0.00160597
log_vol_4per,Item_1.03,0.002311497,0.000677699,3.410800609,0.000651761
log_vol_4per,Item_1.04,-0.000265542,0.000167107,-1.589054245,0.112097915
log_vol_4per,Item_1.05,-1.47E-05,0.000170536,-0.086443068,0.931116936
log_vol_4per,Item_2.01,-5.40E-05,2.75E-05,-1.966790936,0.049250784
