dv,term,estimate,std.error,statistic,p.value
log_vol_2per,Item_1.01,0.000141339,1.06E-05,13.32303025,5.83E-40
log_vol_2per,Item_1.02,3.34E-05,1.91E-05,1.742998616,0.081382244
log_vol_2per,Item_1.03,0.000578269,0.000322972,1.790462664,0.07342717
log_vol_2per,Item_1.04,-3.99E-05,8.60E-05,-0.464704357,0.642159115
log_vol_2per,Item_1.05,8.00E-05,9.51E-05,0.840810483,0.400485762
log_vol_2per,Item_2.01,5.39E-06,1.69E-05,0.318720739,0.749948766
log_vol_2per,Item_2.02,0.000161804,1.54E-05,10.53980044,9.23E-26
log_vol_2per,Item_2.03,-0.000153903,1.19E-05,-12.88996866,1.51E-37
log_vol_2per,Item_2.04,0.000105929,7.67E-05,1.380515234,0.167476638
log_vol_2per,Item_2.05,0.000291597,4.62E-05,6.309523781,2.99E-10
log_vol_2per,Item_2.06,-2.60E-05,5.98E-05,-0.435440366,0.663257611
log_vol_2per,Item_3.01,7.75E-05,2.50E-05,3.0963555,0.001967689
log_vol_2per,Item_3.02,0.000125813,2.13E-05,5.906244929,3.68E-09
log_vol_2per,Item_3.03,-7.81E-05,2.29E-05,-3.41204448,0.000648799
log_vol_2per,Item_4.01,-5.74E-05,1.96E-05,-2.921664894,0.003493927
log_vol_2per,Item_4.02,-8.70E-06,4.13E-05,-0.210612512,0.833196404
log_vol_2per,Item_5.01,8.68E-05,5.91E-05,1.468389945,0.142047848
log_vol_2per,Item_5.02,-2.08E-05,5.08E-06,-4.105516551,4.08E-05
log_vol_2per,Item_5.03,1.19E-05,1.17E-05,1.010984224,0.312062489
log_vol_2per,Item_5.04,-4.30E-05,6.49E-05,-0.661484263,0.508325797
log_vol_2per,Item_5.05,-1.22E-06,4.28E-05,-0.02845527,0.977299937
log_vol_2per,Item_5.06,-2.73E-05,0.00010509,-0.259615908,0.795168478
log_vol_2per,Item_5.07,-4.25E-05,5.00E-06,-8.490512047,2.53E-17
log_vol_2per,Item_5.08,-5.24E-05,5.70E-05,-0.91917922,0.358036741
log_vol_2per,Item_7.01,6.70E-05,9.71E-06,6.894929742,5.91E-12
