dv,term,estimate,std.error,statistic,p.value
log_vol_2per,Item_1.01,0.000149734,2.09E-05,7.177212127,7.93E-13
log_vol_2per,Item_1.02,2.87E-05,2.99E-05,0.961444122,0.336365505
log_vol_2per,Item_1.03,0.001377269,0.000615698,2.236922683,0.025325953
log_vol_2per,Item_1.04,-0.000322058,0.000274737,-1.172239359,0.241144933
log_vol_2per,Item_2.01,-9.26E-06,2.46E-05,-0.376551605,0.706519435
log_vol_2per,Item_2.02,0.000176164,2.23E-05,7.909780847,3.02E-15
log_vol_2per,Item_2.03,-0.000229289,2.00E-05,-11.43957883,5.21E-30
log_vol_2per,Item_2.04,-0.00021346,8.38E-05,-2.545796947,0.010926279
log_vol_2per,Item_2.05,0.000188282,5.14E-05,3.663624715,0.000250696
log_vol_2per,Item_2.06,-8.69E-05,0.000105308,-0.824930388,0.40944209
log_vol_2per,Item_3.01,0.000169247,5.67E-05,2.987481083,0.002823617
log_vol_2per,Item_3.02,0.000200658,3.73E-05,5.378624704,7.77E-08
log_vol_2per,Item_3.03,-6.45E-05,3.87E-05,-1.665807935,0.095800985
log_vol_2per,Item_4.01,-5.95E-05,5.09E-05,-1.168252666,0.242748707
log_vol_2per,Item_4.02,7.65E-05,8.47E-05,0.902888773,0.366619167
log_vol_2per,Item_5.01,0.000143502,0.000111144,1.291135603,0.196703645
log_vol_2per,Item_5.02,-5.04E-05,1.19E-05,-4.23281075,2.34E-05
log_vol_2per,Item_5.03,-5.29E-05,2.45E-05,-2.160956888,0.030735928
log_vol_2per,Item_5.04,-6.79E-05,4.21E-05,-1.6136913,0.106644074
log_vol_2per,Item_5.05,-7.42E-05,8.91E-05,-0.832129327,0.405367232
log_vol_2per,Item_5.06,-0.000191859,0.000128108,-1.497639121,0.134276725
log_vol_2per,Item_5.07,-4.19E-05,1.10E-05,-3.828328557,0.000130257
log_vol_2per,Item_5.08,-0.000251324,3.70E-05,-6.796009529,1.17E-11
log_vol_2per,Item_7.01,3.74E-05,1.64E-05,2.282096519,0.022516562
log_vol_2per,Item_8.01,0.000132284,1.69E-05,7.812144614,6.53E-15
log_vol_2per,Item_9.01,9.60E-05,2.43E-05,3.955877599,7.71E-05
log_vol_4per,Item_1.01,0.00033277,4.07E-05,8.183921237,3.29E-16
log_vol_4per,Item_1.02,0.000108361,5.99E-05,1.810364616,0.070286495
log_vol_4per,Item_1.03,0.003848722,0.001245461,3.090198397,0.00200888
log_vol_4per,Item_1.04,-0.000990576,0.000432127,-2.292326772,0.02191934
log_vol_4per,Item_2.01,-6.00E-05,4.63E-05,-1.295718073,0.195119714
log_vol_4per,Item_2.02,0.000367328,4.13E-05,8.883762384,8.29E-19
log_vol_4per,Item_2.03,-0.000543486,3.85E-05,-14.12834798,1.20E-44
log_vol_4per,Item_2.04,-0.000366887,0.000163558,-2.243159718,0.024920851
log_vol_4per,Item_2.05,0.000512471,0.000107018,4.788633786,1.72E-06
log_vol_4per,Item_2.06,-2.32E-05,0.000238417,-0.097405385,0.922407542
log_vol_4per,Item_3.01,0.000276568,0.00010824,2.555133788,0.010637799
log_vol_4per,Item_3.02,0.00041556,7.30E-05,5.694975725,1.29E-08
log_vol_4per,Item_3.03,-7.04E-05,8.53E-05,-0.825570293,0.409078897
log_vol_4per,Item_4.01,-0.000105673,9.53E-05,-1.109092171,0.26743241
log_vol_4per,Item_4.02,0.000107732,0.000153637,0.701214802,0.483194661
log_vol_4per,Item_5.01,0.000347573,0.000231347,1.502391241,0.133045807
log_vol_4per,Item_5.02,-0.000117348,2.26E-05,-5.19057925,2.16E-07
log_vol_4per,Item_5.03,-0.00010984,4.66E-05,-2.358093561,0.018399201
log_vol_4per,Item_5.04,-0.000171506,6.81E-05,-2.516682561,0.011870982
log_vol_4per,Item_5.05,-0.000167487,0.000159528,-1.049891971,0.293807725
log_vol_4per,Item_5.06,-0.000491039,0.000270393,-1.816020068,0.069414416
log_vol_4per,Item_5.07,-0.000107747,1.92E-05,-5.600791503,2.22E-08
log_vol_4per,Item_5.08,-0.000403937,7.93E-05,-5.092514416,3.64E-07
log_vol_4per,Item_7.01,0.000122001,3.18E-05,3.840615586,0.00012392
log_vol_4per,Item_8.01,0.000302278,3.34E-05,9.056279151,1.77E-19
log_vol_4per,Item_9.01,0.000204667,4.62E-05,4.43322192,9.44E-06
log_vol_33per,Item_1.01,0.004204001,0.000233671,17.99111746,1.27E-70
log_vol_33per,Item_1.02,0.002385229,0.000437115,5.4567583,5.03E-08
log_vol_33per,Item_1.03,0.033260954,0.00656396,5.067208526,4.15E-07
log_vol_33per,Item_1.04,-0.004203329,0.003359106,-1.251323848,0.210862452
log_vol_33per,Item_2.01,-5.64E-05,0.000297048,-0.18984371,0.849437672
log_vol_33per,Item_2.02,0.007993,0.000212997,37.52626713,1.54E-278
log_vol_33per,Item_2.03,-0.005106451,0.000243515,-20.96974187,1.86E-94
log_vol_33per,Item_2.04,-0.001280621,0.001147947,-1.11557522,0.264646226
log_vol_33per,Item_2.05,0.005839134,0.000753035,7.754133302,1.03E-14
log_vol_33per,Item_2.06,0.000426947,0.00124615,0.342612451,0.731901376
log_vol_33per,Item_3.01,0.002482074,0.000721053,3.44228988,0.000580533
log_vol_33per,Item_3.02,0.004511681,0.000479339,9.412297135,6.64E-21
log_vol_33per,Item_3.03,-0.000959748,0.000516851,-1.856912803,0.063369842
log_vol_33per,Item_4.01,-0.000444126,0.000679139,-0.653954247,0.513164968
log_vol_33per,Item_4.02,0.003540025,0.001206523,2.934071477,0.003357448
log_vol_33per,Item_5.01,0.001256973,0.001656967,0.758598653,0.448120838
log_vol_33per,Item_5.02,0.00020661,0.000124362,1.661356505,0.09669124
log_vol_33per,Item_5.03,0.000166978,0.000303844,0.549551636,0.582646268
log_vol_33per,Item_5.04,-0.000756052,0.000553062,-1.36703054,0.171664132
log_vol_33per,Item_5.05,-0.002004072,0.001023526,-1.958007428,0.050272874
log_vol_33per,Item_5.06,-0.003432732,0.00706865,-0.48562767,0.627247932
log_vol_33per,Item_5.07,-0.000275608,0.000119339,-2.309460258,0.020949989
log_vol_33per,Item_5.08,-0.001316854,0.000860356,-1.530592625,0.125919926
log_vol_33per,Item_7.01,0.000844911,0.000187585,4.504152678,6.78E-06
log_vol_33per,Item_8.01,0.002647682,0.000186341,14.20878397,3.95E-45
log_vol_33per,Item_9.01,0.001963508,0.000212084,9.258141859,2.79E-20
log_vol_66per,Item_1.01,0.00711715,0.00041649,17.0883945,4.82E-64
log_vol_66per,Item_1.02,0.003821576,0.000770311,4.961079454,7.19E-07
log_vol_66per,Item_1.03,0.058908108,0.014180465,4.154173137,3.31E-05
log_vol_66per,Item_1.04,-0.007837317,0.00697922,-1.122950365,0.261501043
log_vol_66per,Item_2.01,0.000347704,0.000529133,0.657120414,0.511127317
log_vol_66per,Item_2.02,0.011172376,0.000378186,29.54198691,7.80E-180
log_vol_66per,Item_2.03,-0.008332854,0.000426187,-19.55211086,1.03E-82
log_vol_66per,Item_2.04,-0.001679137,0.002271356,-0.739266575,0.459772476
log_vol_66per,Item_2.05,0.009886796,0.001345474,7.348186084,2.26E-13
log_vol_66per,Item_2.06,0.000605488,0.002251626,0.268911676,0.788006391
log_vol_66per,Item_3.01,0.003560264,0.001264711,2.815081692,0.004891509
log_vol_66per,Item_3.02,0.00756291,0.000842546,8.976253368,3.63E-19
log_vol_66per,Item_3.03,-0.001071012,0.000959681,-1.11600779,0.264461043
log_vol_66per,Item_4.01,-0.000752474,0.001221373,-0.616088287,0.537858342
log_vol_66per,Item_4.02,0.007196408,0.002251664,3.196039907,0.001400104
log_vol_66per,Item_5.01,0.005133638,0.003253904,1.577685707,0.114687659
log_vol_66per,Item_5.02,0.000389518,0.000227625,1.711229856,0.087087541
log_vol_66per,Item_5.03,0.001009653,0.000572902,1.762347476,0.078058725
