dv,residual_sd
log_vol_2per,0.000739913
log_vol_4per,0.001364965
log_vol_33per,0.007631503
log_vol_66per,0.014412594
abs_ret_2_per,0.006261234
abs_ret_4_per,0.008298041
abs_ret_33_per,0.018403664
abs_ret_66_per,0.02504029
log_retail_2per,0.000123854
log_retail_4per,0.000232204
log_retail_33per,0.001595684
log_retail_66per,0.003118017
log_retail_vol_2per,0.10755657
log_retail_vol_4per,0.106130548
log_retail_vol_33per,0.083594632
log_retail_vol_66per,0.070438342
lag_vol_2per,0.000739923
lag_vol_4per,0.00136498
lag_vol_33per,0.007630614
lag_vol_66per,0.01440952
lag_retail_2per,0.000123855
lag_retail_4per,0.000232205
lag_retail_33per,0.00159553
lag_retail_66per,0.003117465
lag_retail_vol_2per,0.107555613
lag_retail_vol_4per,0.106127876
lag_retail_vol_33per,0.083590104
lag_retail_vol_66per,0.070430861
lag_absret_2per,0.006261257
lag_absret_4per,0.008298178
lag_absret_33per,0.01840231
lag_absret_66per,0.025036674
